instance_id,default_gap,default_dualbound,default_time,default_cuts,efficacy_gap,efficacy_dualbound,efficacy_time,efficacy_cuts,raise_cut_gap,raise_cut_dualbound,raise_cut_time,raise_cut_cuts,raise_portfolio_gap,raise_portfolio_dualbound,raise_portfolio_time,raise_portfolio_cuts,raise_portfolio_rc_gap,raise_portfolio_rc_dualbound,raise_portfolio_rc_time,raise_portfolio_rc_cuts,scip_ensemble_gap,scip_ensemble_dualbound,scip_ensemble_time,scip_ensemble_cuts,best_gap_mode
decomp1,0.0,-120.0,0.599109,0,0.0,-120.0,0.599633,0,0.0,-120.0,0.599807,0,0.0,-120.0,0.5963379999999999,0,0.0,-120.0,0.6003649999999999,0,0.0,-120.0,0.6132,0,default
dell,0.0,1e+20,0.002665,0,0.0,1e+20,0.0026739999999999997,0,0.0,1e+20,0.002532,0,0.0,1e+20,0.002523,0,0.0,1e+20,0.002748,0,0.0,1e+20,0.0029419999999999997,0,default
dg012142,42.21610134362353,773849.0507065239,5.188142,812,42.55939741709932,767750.2670611324,4.15511,400,42.55939741709932,767750.2670611324,4.191196,400,42.55939741709932,767750.2670611324,4.207641,400,42.55939741709932,767750.2670611324,4.08286,400,42.21610134362353,773849.0507065239,5.005266,812,default
diameterc-msts-v40a100d5i,,343.1224534561299,13.952797,692,,335.72751773597525,16.516704,400,,335.72751773597525,16.379524,400,,343.1224534561299,13.535591,692,,343.1224534561299,13.247368,692,,343.1224534561299,13.174312,692,
drayage-100-12,0.6943726676462615,92623.36114883414,5.235584,114,0.3399147963425377,92623.36114883421,6.07175,400,0.3399147963425377,92623.36114883421,6.175005,400,0.3399147963425377,92623.36114883421,6.372348,400,0.3399147963425377,92623.36114883421,6.29704,400,0.40792683175803646,92656.95773062616,6.980313,665,efficacy
ds,22.479856921632305,57.52877900867956,30.050323,19,22.505927663638737,57.46497306249687,30.006064,47,22.505927663638737,57.46497306249687,30.000483,47,22.464712463504913,57.56590889834566,30.000497,21,22.505927663638737,57.46497306249687,30.001054,47,22.479856921632305,57.52877900867956,30.000546,26,raise_portfolio
ds-big,,-214880230.52734506,32.487344,0,,-214880230.52734506,35.951444,0,,-214880230.52734506,30.888878,0,,-214880230.52734506,32.914369,0,,-214880230.52734506,33.307282,0,,-214880230.52734506,32.069187,0,
elitserienhandball11i,,-1e+20,52.368761,0,,-1e+20,53.802432,0,,-1e+20,54.459401,0,,-1e+20,51.395821,0,,-1e+20,51.955505,0,,-1e+20,53.388697,0,
elitserienhandball13i,,-1e+20,63.504729,0,,-1e+20,62.931944,0,,-1e+20,62.204465,0,,-1e+20,63.016953,0,,-1e+20,57.419292,0,,-1e+20,56.534341,0,
elitserienhandball3i,,-1e+20,57.533186,0,,-1e+20,57.094255,0,,-1e+20,57.388829,0,,-1e+20,56.317005,0,,-1e+20,58.298726,0,,-1e+20,57.846471,0,
enlight8,0.0,27.0,0.001385,0,0.0,27.0,0.001017,0,0.0,27.0,0.001021,0,0.0,27.0,0.001053,0,0.0,27.0,0.0009419999999999999,0,0.0,27.0,0.0009109999999999999,0,default
eva1aprime5x5opt,,-497.14678982306924,6.724805,11,,-497.1536619805063,7.316544,9,,-497.1536619805063,6.871678,9,,-497.1536619805063,6.736165,9,,-497.1536619805063,6.718417,9,,-497.1536619805063,6.839177,9,
ex1010-pi,0.18003197183463984,221.18044784347117,30.009358,23,0.17583645600429715,221.11918598231472,30.008677,22,0.16231627333719784,221.11021405741096,30.011233,21,0.16231627333719784,221.11021405741096,30.009346,21,0.16231627333719784,221.11021405741096,30.009289,21,0.17583645600429715,221.11918598231472,30.011466,22,raise_cut
fastxgemm-n3r21s3t6,,0.0,30.006836,0,,0.0,30.003637,0,,0.0,30.007153,0,,0.0,30.006885,0,,0.0,30.00466,0,,0.0,30.005214,0,
fhnw-binpack4-18,,0.0,0.16061699999999998,536,,0.0,0.061813,417,,0.0,0.160113,315,,0.0,0.157543,536,,0.0,0.159026,536,,0.0,0.157061,536,
fhnw-binpack4-77,,0.0,0.933091,1007,,0.0,0.8522609999999999,400,,0.0,1.197082,400,,0.0,0.923661,1007,,0.0,0.919006,1007,,0.0,0.9317259999999999,1007,
gasprod2-2,,1313806.061666287,30.000704,200,,1319669.9127791857,30.005026,50,,1315054.8700390887,30.00127,54,,1313806.061666287,30.00135,200,,1313806.061666287,30.000955,200,,1313806.061666287,30.000937,200,
genus-sym-g31-8,26.0,-27.0,30.000381,11,26.0,-27.0,30.000142,18,26.0,-27.0,30.000161,18,26.0,-27.0,30.000165,18,26.0,-27.0,30.000184,18,26.0,-27.0,30.000495,44,default
gmut-76-40,0.017132445440392503,-14171086.316042844,6.427308,0,0.017132445440392503,-14171086.316042844,6.547389,0,0.017132445440392503,-14171086.316042844,6.710706,0,0.017132445440392503,-14171086.316042844,6.23773,0,0.017132445440392503,-14171086.316042844,6.176476,0,0.017132445440392503,-14171086.316042844,6.22129,0,default
graph20-80-1rand,107.00000000000001,-108.00000000000001,30.011641,83,107.00000000000001,-108.00000000000001,30.000907,50,107.0,-108.0,30.005477,50,107.0,-108.0,30.00492,50,107.00000000000001,-108.00000000000001,30.000932,83,107.00000000000001,-108.00000000000001,30.001501,83,raise_cut
hanoi5,,1813.9917569280124,3.884848,527,,1803.6895719307602,3.924797,399,,1801.4025439083591,4.010017,320,,1801.4025439083591,3.949951,320,,1801.4025439083591,3.733253,320,,1813.9917569280124,3.970642,527,
lr1dr02vc05v8a-t360,,-213475809.0632272,30.000504,0,,-213475809.0632272,30.000636,0,,-213475809.0632272,30.001133,0,,-213475809.0632272,30.000733,0,,-213475809.0632272,30.000534,0,,-213475809.0632272,30.000813,0,
lr2-22dr3-333vc4v17a-t60,,-7035571.880000102,30.022374,0,,-7035571.880000102,30.020533,0,,-7035571.880000102,30.021026,0,,-7035571.880000102,30.027302,0,,-7035571.880000102,30.022991,0,,-7035571.880000102,30.020373,0,
map06,1.64404022996331,-393.9619942645332,25.658942,135,1.6509467925715167,-394.991072093156,26.889398,350,1.6509467925715167,-394.991072093156,27.281294,350,1.6509467925715167,-394.991072093156,26.900167,350,1.6482564742763488,-394.590214667176,18.589426,353,1.6482564742763488,-394.590214667176,18.706644,353,default
map14860-20,0.06387031486509388,-980.8884303056166,18.397742,118,0.0669910082961323,-979.4977456158495,24.138302,209,0.0669910082961323,-979.4977456158495,23.799235,209,0.0669910082961323,-979.4977456158495,23.370118,209,0.0669910082961323,-979.4977456158495,23.485326,209,0.07480039659667308,-980.2179616961658,21.278611,256,default
map18,0.07436959506439575,-909.9910470195432,23.592624,153,0.07503510300682135,-910.5547322467777,24.128715,328,0.07503510300682135,-910.5547322467777,24.360904,328,0.07503510300682135,-910.5547322467777,24.024608,328,0.07503510300682135,-910.5547322467777,24.369519,328,0.09253001412223143,-915.5401518344299,30.05676,328,default
mario-t-hard5i,,-1e+20,30.003475,0,,-1e+20,30.007438,0,,-1e+20,30.004777,0,,-1e+20,30.004508,0,73.7,-4482.0,30.00579,50,73.7,-4482.0,30.001329,91,raise_portfolio_rc
milo-v13-4-3d-3-0,10.2365447980396,45182.395896804446,0.403196,118,6.944170174687024,62070.39697714234,0.912532,387,8.448899456286751,58660.34215887266,0.871142,343,8.448899456286751,58660.34215887266,0.8710019999999999,343,8.448899456286751,58660.34215887266,0.870796,343,11.987134395849068,37343.050113448706,0.831472,390,efficacy
mod008inf,0.0,1e+20,0.069446,11,0.0,1e+20,0.040017,68,0.0,1e+20,0.040086,68,0.0,1e+20,0.039299,68,0.0,1e+20,0.040017,68,0.0,1e+20,0.047098,70,default
moj-mining,,-1e+20,30.017056,0,,-1e+20,30.008379,0,,-1e+20,30.022922,0,,-1e+20,30.015908,0,,-1e+20,30.032032,0,,-1e+20,30.006273,0,
momentum2,,10698.613189458343,17.248555,387,,10702.422624208151,15.27779,400,,10702.422624208151,15.035891,400,,10702.422624208151,15.526803,400,,10698.613189458343,17.650332,387,,10698.613189458343,16.304901,387,
mtest4ma,0.10190925731539655,49191.890929440706,0.302428,616,0.16874638592741692,46729.55626439197,0.19864199999999999,400,0.16874638592741692,46729.55626439197,0.223596,400,0.16874638592741692,46729.55626439197,0.21337699999999998,400,0.16874638592741692,46729.55626439197,0.222021,400,0.10190925731539655,49191.890929440706,0.31224199999999996,616,default
n3709,0.27553727745255924,1011667.0228385342,14.428904,554,0.3213166962631156,995628.0759340641,5.87784,400,0.307870133122286,996811.5082555402,7.797451,399,0.307870133122286,996811.5082555402,7.787231,399,0.307870133122286,996811.5082555402,7.852122,399,0.27553727745255924,1011667.0228385342,14.950837,554,default
neos-1223462,,-751.0,29.273879,746,,-751.0,9.088019,400,,-751.0,9.150141,400,,-751.0,9.300952,400,,-751.0,9.619758,400,,-751.0,29.526305,746,
neos-1324574,0.7777777777777771,4.500000000000002,13.846909,18,0.7777777777777775,4.500000000000001,18.259668,304,0.7777777777777775,4.500000000000001,18.869746,304,0.7777777777777775,4.500000000000001,17.853229,304,0.7777777777777775,4.500000000000001,17.853263,304,0.7777777777777778,4.5,14.853457,77,default
neos-1330346,0.7777777777777767,4.500000000000003,6.489355,58,0.7777777777777775,4.500000000000001,5.07312,108,0.7777777777777775,4.500000000000001,5.053595,108,0.7777777777777775,4.500000000000001,5.090208,108,0.7777777777777775,4.500000000000001,5.029357,108,0.7777777777777775,4.500000000000001,6.226813,89,default
neos-1396125,0.5633044575952543,1919.0467083548951,2.257072,107,,1874.0605977265216,2.7431900000000002,400,,1874.0605977265216,2.88136,400,,1874.0605977265216,2.924751,400,,1874.0605977265216,2.8987179999999997,400,,1871.7857564908772,2.197699,378,default
neos-1601936,,3.000000000000682,30.000291,40,14423.333333328957,3.0000000000009095,30.008472,50,14423.333333328957,3.0000000000009095,30.008966,50,,3.0000000000005684,27.399917,33,14423.333333328957,3.0000000000009095,30.007615,50,,3.0000000000001137,26.132431,45,efficacy
neos-2656603-coxs,,0.0,0.120513,83,,0.0,0.219526,393,,0.0,0.23914,393,,0.0,0.237035,393,,0.0,0.238692,393,,0.0,0.160441,316,
neos-3075395-nile,0.11688516817010818,5413218.09287306,12.391179,174,0.12532952265547456,5733060.290443642,10.993753,400,0.34617996682090585,5595965.016319549,12.233551,281,0.34617996682090585,5595965.016319549,11.934477,281,0.34617996682090585,5595965.016319549,12.457562,281,0.11688516817010818,5413218.09287306,12.258744,174,default
neos-3135526-osun,,68.0,0.217463,77,,86.95777778717049,0.314417,400,,86.95777778717049,0.33566399999999996,400,,86.95777778717049,0.33591699999999997,400,,86.95777778717049,0.33588799999999996,400,,68.0,0.217027,77,
neos-3230376-yser,,-1e+20,0.6764399999999999,0,,-1e+20,0.694892,0,,-1e+20,0.691068,0,,-1e+20,0.680958,0,,-1e+20,0.686175,0,,-1e+20,0.689103,0,
neos-3322547-alsek,,-1e+20,181.091885,0,,-1e+20,176.760182,0,,-1e+20,159.047075,0,,-1e+20,168.121674,0,,-1e+20,165.20839,0,,-1e+20,155.499285,0,
neos-3426085-ticino,0.25349106278908046,221.78060000000005,0.8366929999999999,1383,0.2534910627890808,221.7806,0.437787,400,0.2534910627890808,221.7806,0.708519,400,0.2534910627890808,221.7806,0.7084499999999999,400,0.2534910627890808,221.7806,0.725134,400,0.25349106278908046,221.78060000000005,0.87734,1383,default
neos-3530903-gauja,0.18668877741082843,163.48010000000002,0.355597,1275,0.18668877741082865,163.4801,0.164943,400,0.18668877741082865,163.4801,0.29251099999999997,356,0.18668877741082865,163.4801,0.290419,356,0.18668877741082865,163.4801,0.291913,356,0.18668877741082843,163.48010000000002,0.35174099999999997,1275,default
