instance_id,default_gap,default_dualbound,default_time,default_cuts,efficacy_gap,efficacy_dualbound,efficacy_time,efficacy_cuts,raise_cut_gap,raise_cut_dualbound,raise_cut_time,raise_cut_cuts,raise_portfolio_gap,raise_portfolio_dualbound,raise_portfolio_time,raise_portfolio_cuts,raise_portfolio_rc_gap,raise_portfolio_rc_dualbound,raise_portfolio_rc_time,raise_portfolio_rc_cuts,scip_ensemble_gap,scip_ensemble_dualbound,scip_ensemble_time,scip_ensemble_cuts,best_gap_mode
neos18,0.46153846153846156,13.0,0.42288699999999996,154,0.46153846153846156,13.0,0.536253,400,0.46153846153846156,13.0,0.555173,400,0.46153846153846156,13.0,0.559975,400,0.46153846153846156,13.0,0.576429,400,0.46153846153846156,13.0,0.428235,154,default
newdano,1.1932348364594005,35.33593334907555,1.692667,417,1.4137308269742002,31.382952545275536,1.331895,400,1.6320324428152233,31.53456570285401,1.722197,357,1.6320324428152233,31.53456570285401,1.738352,357,1.6320324428152233,31.53456570285401,1.73792,357,1.1932348364594005,35.33593334907555,1.7793519999999998,417,default
nexp-50-20-1-1,0.09444872297571917,26.497358342336316,0.088373,165,0.0,29.0,0.044116999999999996,388,0.0,29.0,0.053891999999999995,388,0.0,29.0,0.051895,388,0.0,29.0,0.052175,388,0.0,29.0,0.08316699999999999,355,efficacy
nexp-50-20-4-2,0.12073849675696346,67.81242923297289,0.35481399999999996,162,0.07720658639759387,69.6245278733542,0.33169,400,0.1190597613162028,68.80776403704752,0.48577299999999995,252,0.1190597613162028,68.80776403704752,0.489969,252,0.1190597613162028,68.80776403704752,0.491058,252,0.12073849675696346,67.81242923297289,0.362245,162,efficacy
nj3,,-1e+20,30.008579,0,,0.0,30.077001,0,,-1e+20,30.091452,0,,0.0,30.001986,0,,0.0,30.001911,0,,0.0,30.001861,0,
ns1430538,,0.0,30.001465,0,,0.0,30.001559,0,,0.0,30.002324,0,,0.0,30.001914,0,,0.0,30.001991,0,,0.0,30.002969,0,
ns930473,,0.0,30.001444,600,,0.0,30.000565,300,,0.0,30.000474,200,,0.0,30.0004,600,,0.0,30.030292,600,,0.0,30.000476,400,
nsrand-ipx,0.11525003152981632,50069.48972994233,4.197802,83,0.12625346459827028,50432.69724391952,4.699614,400,0.1375046276176987,50355.83909663979,5.448309,332,0.1375046276176987,50355.83909663979,5.492097,332,0.1375046276176987,50355.83909663979,5.429552,332,0.11525003152981632,50069.48972994233,4.154455,83,default
nu120-pr12,0.03730763684568713,42051.17021276595,0.476247,164,0.0,42215.0,0.35076799999999997,402,0.0,42215.0,0.41408,402,0.0,42215.0,0.412911,402,0.0,42215.0,0.41407299999999997,402,0.03730763684568713,42051.17021276595,0.483851,164,efficacy
nursesched-medium04,,233.55555555555554,30.026137,687,,233.0,30.022857,400,,233.0,30.018248,264,,233.0,30.016186,264,,233.0,30.013278,264,,233.55555555555554,30.017519,687,
ofi2,,4903954550.612663,30.35625,0,,4903954550.612663,30.351701,0,,4903954550.612663,30.369043,0,,4903954550.612663,30.374483,0,,4903954550.612663,30.344689,0,,4903954550.612663,30.38928,0,
opt1217,0.125,-18.0,0.08158599999999999,65,0.0,-16.0,0.058088999999999995,250,0.0,-16.0,0.07232899999999999,250,0.0,-16.0,0.071194,250,0.0,-16.0,0.072005,250,0.0,-16.0,0.036424,159,efficacy
p500x2988c,0.005761454038233641,15151.704152922026,0.2753,65,3.10733161796348e-05,15214.527234184729,0.35267699999999996,341,3.10733161796348e-05,15214.527234184729,0.38032499999999997,341,3.10733161796348e-05,15214.527234184729,0.385839,341,3.10733161796348e-05,15214.527234184729,0.383549,341,0.0,15215.0,0.505609,294,scip_ensemble
pb-fit2d,,-67530.0,30.009141,0,,-67530.0,30.00598,0,,-67530.0,30.005914,0,,-67530.0,30.007512,0,,-67530.0,30.007046,0,,-67530.0,30.007229,0,
pigeon-16,,-16000.0,0.40093599999999996,354,,-16000.0,0.283176,416,,-16000.0,0.27070299999999997,318,,-16000.0,0.268047,318,,-16000.0,0.265052,318,,-16000.0,0.39955399999999996,354,
prod1,0.5810986735862455,-79.05493367931227,0.109771,22,0.5754897267794319,-78.77448633897158,0.219519,400,0.5754897267794319,-78.77448633897158,0.23554499999999998,400,0.5754897267794319,-78.77448633897158,0.239331,400,0.5754897267794319,-78.77448633897158,0.243468,400,0.5810986735862455,-79.05493367931227,0.110854,22,efficacy
pythago7825,,0.0,30.007594,0,,0.0,30.007503,0,,0.0,30.007161,0,,0.0,30.006896,0,,0.0,30.015412,0,,0.0,30.008228,0,
qiu,,-780.3632897882829,1.746751,13,,-808.9567493851149,5.771601,380,,-808.9567493851149,5.9646,380,,-808.9567493851149,6.045779,380,,-808.9567493851149,6.040368,380,,-832.394769479454,1.885378,61,
ramos3,,0.0,30.000653,0,,0.0,30.223409,0,,0.0,30.082655,0,,0.0,30.000795,0,,0.0,30.135488,0,,0.0,30.220588,0,
ran12x21,0.12277691950030696,3419.201030342297,0.273123,96,0.13040144629812886,3444.793894020733,0.348059,400,0.11050059435787306,3439.890099481528,0.446484,330,0.11050059435787306,3439.890099481528,0.44109299999999996,330,0.11050059435787306,3439.890099481528,0.442812,330,0.12277691950030696,3419.201030342297,0.275835,96,raise_cut
reblock166,3.07794470569954,-741421532.8755554,9.327886,12,2.996208470885386,-726560859.4528168,9.064127,184,2.996208470885386,-726560859.4528168,9.408006,184,2.996208470885386,-726560859.4528168,9.444198,184,2.996208470885386,-726560859.4528168,8.958285,184,3.0054485577106926,-728240823.2170012,9.434049,61,efficacy
rmine21,,-1e+20,30.126979,0,,-1e+20,30.133055,0,,-1e+20,30.109142,0,,-1e+20,30.156205,0,,-1e+20,30.09799,0,,-1e+20,30.094088,0,
rococoC11-010100,0.8136544405200897,12988.141221237824,9.322471,421,1.0284831557644394,11612.617996387975,6.156873,400,0.7189816875401089,13703.461863930048,11.015071,400,0.7189816875401089,13703.461863930048,10.782803,400,0.7189816875401089,13703.461863930048,10.787296,400,0.8136544405200897,12988.141221237824,8.9442,421,raise_cut
rococoC11-011100,0.6909556536685842,13930.58413382662,5.845993,381,0.838690691991073,12811.290176539582,3.458773,400,0.7727105903154373,13288.12504911387,5.39482,400,0.7727105903154373,13288.12504911387,5.430506,400,0.7727105903154373,13288.12504911387,5.45129,400,0.6909556536685842,13930.58413382662,5.924119,381,default
rococoC12-010001,0.4307487047222128,31073.241480677592,28.809066,505,0.5228547616006516,30216.93280298984,13.068027,400,0.540057978473198,30869.617030348294,20.188022,400,0.540057978473198,30869.617030348294,19.827231,400,0.540057978473198,30869.617030348294,19.625329999999998,400,0.4307487047222128,31073.241480677592,27.854874,505,default
satellites3-25,,-821.0,30.001243,0,,-821.0,30.001808,0,,-821.0,30.001889,0,,-1e+20,30.002453,0,,-821.0,30.000986,0,,-821.0,30.002623,0,
scpk4,0.3616392701449789,280.5442001972566,30.054535,0,0.3616392701449789,280.5442001972566,30.049498,0,0.3616392701449789,280.5442001972566,30.054087,0,0.3616392701449789,280.5442001972566,30.052657,0,0.3616392701449789,280.5442001972566,30.054377,0,0.3616392701449789,280.5442001972566,30.049,0,default
sct32,,-49.2634916108574,17.767989,387,,-49.04214195463656,20.720401,400,,-50.663810538131585,14.031286,351,,-50.663810538131585,13.894496,351,,-50.663810538131585,13.804983,351,,-49.2634916108574,17.460413,387,
set3-10,13.812995184788688,69538.13928004356,2.8021789999999998,444,8.084081970867883,58830.68282418341,1.9220519999999999,400,8.084081970867883,58830.68282418341,1.943109,400,13.812995184788688,69538.13928004356,2.804038,444,13.812995184788688,69538.13928004356,2.791073,444,13.812995184788688,69538.13928004356,2.7482509999999998,444,efficacy
set3-15,11.213663497746076,40994.25986504949,3.332327,446,14.299943740155811,33083.09807149255,2.595437,400,14.299943740155811,33083.09807149255,2.462717,400,41.30634701073824,40209.194687914656,3.171048,563,41.30634701073824,40209.194687914656,3.159579,563,41.30634701073824,40209.194687914656,3.126914,563,default
shipsched,,35585.66156488322,7.755932,1338,15.141555149824185,19719.909082209284,6.910291,400,,19788.90628957405,5.851156,400,,35585.66156488322,7.286306,1338,,35585.66156488322,6.883269,1338,,35585.66156488322,7.052684,1338,efficacy
sing11,,-7234584.11680506,30.004348,0,,-7234584.11680506,30.00332,0,,-7234584.11680506,30.002791,0,,-7234584.11680506,30.009423,0,,-7234584.11680506,30.002393,0,,-7234584.11680506,30.002966,0,
snp-06-004-052,,-1e+20,31.683241,0,,-1e+20,31.551187,0,,-1e+20,31.529223,0,,-1e+20,31.457201,0,,-1e+20,31.536131,0,,-1e+20,31.530924,0,
