policy,n_events,mean_anchor_gap,mean_incumbent_gap,median_anchor_gap,spearman
best_bound,518,-0.075346779895581,1.3716829982667254,-0.002954511251686679,-0.33696952412706643
best_estimate,368,-0.11765615185175109,0.9753937819058164,-0.00837920835807231,-0.3522862760575411
boltzmann_adaptive,373,-0.10613962627929456,0.9334315003544074,-0.009225311047804188,-0.2933433669573415
depth_first,508,-0.04898880193338037,1.4078606373657394,-0.0017025615420385063,-0.4234435172401558
greedy_score,313,-0.1309920898164708,0.8663141504230485,-0.008988539399260635,-0.32024029698018514
hybrid_best_bound_depth,524,-0.07833025120264028,1.3796885553399931,-0.002954511251686679,-0.34460507989172673
learned_portfolio,403,-0.1118146092159747,0.8479620193356321,-0.006836850044155019,-0.3128211378027551
random_uniform,360,-0.13283268030692036,0.873951529317148,-0.010139198942552682,-0.2436770425988162
safeguarded_hybrid,415,-0.1103166330709388,0.9041561667785546,-0.008190803184106699,-0.2937777829291581
