instance,budget,policy,mean_gap,oracle_gap,regret,winner
air05,10,best_bound,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,10,depth_first,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,10,hybrid_best_bound_depth,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,10,greedy_score,0.011602335633578523,0.008986122696595131,0.0026162129369833916,best_bound
air05,10,random_uniform,0.11299954500644575,0.008986122696595131,0.10401342230985063,best_bound
air05,10,best_estimate,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,10,boltzmann_adaptive,0.11785596926265768,0.008986122696595131,0.10886984656606255,best_bound
air05,10,safeguarded_hybrid,0.06774348474507723,0.008986122696595131,0.0587573620484821,best_bound
air05,10,budgeted_portfolio,0.11785596926265768,0.008986122696595131,0.10886984656606255,best_bound
air05,10,instance_aware_portfolio,0.11785596926265768,0.008986122696595131,0.10886984656606255,best_bound
air05,10,multi_feature_portfolio,0.11785596926265768,0.008986122696595131,0.10886984656606255,best_bound
air05,10,learned_portfolio,0.06774348474507723,0.008986122696595131,0.0587573620484821,best_bound
air05,60,best_bound,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,60,depth_first,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,60,hybrid_best_bound_depth,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,60,greedy_score,0.011412754985971033,0.008986122696595131,0.0024266322893759015,best_bound
air05,60,random_uniform,0.07916887844088875,0.008986122696595131,0.07018275574429363,best_bound
air05,60,best_estimate,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,60,boltzmann_adaptive,0.03312605849194914,0.008986122696595131,0.02413993579535401,best_bound
air05,60,safeguarded_hybrid,0.02382396804933959,0.008986122696595131,0.014837845352744457,best_bound
air05,60,budgeted_portfolio,0.03312605849194914,0.008986122696595131,0.02413993579535401,best_bound
air05,60,instance_aware_portfolio,0.03312605849194914,0.008986122696595131,0.02413993579535401,best_bound
air05,60,multi_feature_portfolio,0.03312605849194914,0.008986122696595131,0.02413993579535401,best_bound
air05,60,learned_portfolio,0.024278961603597573,0.008986122696595131,0.015292838907002441,best_bound
air05,300,best_bound,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,300,depth_first,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,300,hybrid_best_bound_depth,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,300,greedy_score,0.0121837162862415,0.008986122696595131,0.0031975935896463685,best_bound
air05,300,random_uniform,0.08470463335102753,0.008986122696595131,0.0757185106544324,best_bound
air05,300,best_estimate,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,300,boltzmann_adaptive,0.03312605849194914,0.008986122696595131,0.02413993579535401,best_bound
air05,300,safeguarded_hybrid,0.024278961603597573,0.008986122696595131,0.015292838907002441,best_bound
air05,300,budgeted_portfolio,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,300,instance_aware_portfolio,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,300,multi_feature_portfolio,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,300,learned_portfolio,0.024278961603597573,0.008986122696595131,0.015292838907002441,best_bound
air05,900,best_bound,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,900,depth_first,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,900,hybrid_best_bound_depth,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,900,greedy_score,0.011412754985971033,0.008986122696595131,0.0024266322893759015,best_bound
air05,900,random_uniform,0.08485629786911353,0.008986122696595131,0.0758701751725184,best_bound
air05,900,best_estimate,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,900,boltzmann_adaptive,0.03312605849194914,0.008986122696595131,0.02413993579535401,best_bound
air05,900,safeguarded_hybrid,0.02507520032355097,0.008986122696595131,0.016089077626955838,best_bound
air05,900,budgeted_portfolio,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,900,instance_aware_portfolio,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,900,multi_feature_portfolio,0.008986122696595131,0.008986122696595131,0.0,best_bound
air05,900,learned_portfolio,0.024278961603597573,0.008986122696595131,0.015292838907002441,best_bound
csched007,60,best_bound,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,depth_first,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,hybrid_best_bound_depth,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,greedy_score,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,random_uniform,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,best_estimate,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,boltzmann_adaptive,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,safeguarded_hybrid,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,budgeted_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,instance_aware_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,multi_feature_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,60,learned_portfolio,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
csched007,300,best_bound,0.46153846153847633,0.46153846153847633,0.0,safeguarded_hybrid
