instance,policy,budget,seed,resolved_policy,resolution_reason,source_run_id,status,incumbent,ttff,elapsed,gap_vs_opt
air05,budgeted_portfolio,10,0,boltzmann_adaptive,budget<=180,p45_air05_boltzmann_adaptive_b10_s0_1787997976,time_limit,29888.0,0.20916824997402728,10.000981457997113,
air05,instance_aware_portfolio,10,0,boltzmann_adaptive,frac_count=224<5000,p45_air05_boltzmann_adaptive_b10_s0_1787997976,time_limit,29888.0,0.20916824997402728,10.000981457997113,
air05,multi_feature_portfolio,10,0,boltzmann_adaptive,votes=0/4,p45_air05_boltzmann_adaptive_b10_s0_1787997976,time_limit,29888.0,0.20916824997402728,10.000981457997113,
air05,budgeted_portfolio,10,1,boltzmann_adaptive,budget<=180,p45_air05_boltzmann_adaptive_b10_s1_1787997986,time_limit,29888.0,0.2093740840209648,10.027546208992135,
air05,instance_aware_portfolio,10,1,boltzmann_adaptive,frac_count=224<5000,p45_air05_boltzmann_adaptive_b10_s1_1787997986,time_limit,29888.0,0.2093740840209648,10.027546208992135,
air05,multi_feature_portfolio,10,1,boltzmann_adaptive,votes=0/4,p45_air05_boltzmann_adaptive_b10_s1_1787997986,time_limit,29888.0,0.2093740840209648,10.027546208992135,
air05,budgeted_portfolio,10,2,boltzmann_adaptive,budget<=180,p45_air05_boltzmann_adaptive_b10_s2_1787997996,time_limit,28671.0,0.21048841701122,10.027785792015493,
air05,instance_aware_portfolio,10,2,boltzmann_adaptive,frac_count=224<5000,p45_air05_boltzmann_adaptive_b10_s2_1787997996,time_limit,28671.0,0.21048841701122,10.027785792015493,
air05,multi_feature_portfolio,10,2,boltzmann_adaptive,votes=0/4,p45_air05_boltzmann_adaptive_b10_s2_1787997996,time_limit,28671.0,0.21048841701122,10.027785792015493,
air05,budgeted_portfolio,60,0,boltzmann_adaptive,budget<=180,p45_air05_boltzmann_adaptive_b60_s0_1787998041,node_limit,27615.0,0.21224912500474602,34.94870291603729,
air05,instance_aware_portfolio,60,0,boltzmann_adaptive,frac_count=224<5000,p45_air05_boltzmann_adaptive_b60_s0_1787998041,node_limit,27615.0,0.21224912500474602,34.94870291603729,
air05,multi_feature_portfolio,60,0,boltzmann_adaptive,votes=0/4,p45_air05_boltzmann_adaptive_b60_s0_1787998041,node_limit,27615.0,0.21224912500474602,34.94870291603729,
air05,budgeted_portfolio,60,1,boltzmann_adaptive,budget<=180,p45_air05_boltzmann_adaptive_b60_s1_1787998076,node_limit,26618.0,0.21156170801259577,37.361634625005536,
air05,instance_aware_portfolio,60,1,boltzmann_adaptive,frac_count=224<5000,p45_air05_boltzmann_adaptive_b60_s1_1787998076,node_limit,26618.0,0.21156170801259577,37.361634625005536,
air05,multi_feature_portfolio,60,1,boltzmann_adaptive,votes=0/4,p45_air05_boltzmann_adaptive_b60_s1_1787998076,node_limit,26618.0,0.21156170801259577,37.361634625005536,
air05,budgeted_portfolio,60,2,boltzmann_adaptive,budget<=180,p45_air05_boltzmann_adaptive_b60_s2_1787998113,node_limit,27510.0,0.21156279096612707,35.579596291005146,
air05,instance_aware_portfolio,60,2,boltzmann_adaptive,frac_count=224<5000,p45_air05_boltzmann_adaptive_b60_s2_1787998113,node_limit,27510.0,0.21156279096612707,35.579596291005146,
air05,multi_feature_portfolio,60,2,boltzmann_adaptive,votes=0/4,p45_air05_boltzmann_adaptive_b60_s2_1787998113,node_limit,27510.0,0.21156279096612707,35.579596291005146,
air05,budgeted_portfolio,300,0,best_estimate,budget>180,p45_air05_best_estimate_b300_s0_1787998162,node_limit,26611.0,0.21273891697637737,34.634450417011976,
air05,instance_aware_portfolio,300,0,best_estimate,budget>180,p45_air05_best_estimate_b300_s0_1787998162,node_limit,26611.0,0.21273891697637737,34.634450417011976,
air05,multi_feature_portfolio,300,0,best_estimate,budget>180,p45_air05_best_estimate_b300_s0_1787998162,node_limit,26611.0,0.21273891697637737,34.634450417011976,
air05,budgeted_portfolio,300,1,best_estimate,budget>180,p45_air05_best_estimate_b300_s1_1787998216,node_limit,26611.0,0.21766620897687972,34.85787495900877,
air05,instance_aware_portfolio,300,1,best_estimate,budget>180,p45_air05_best_estimate_b300_s1_1787998216,node_limit,26611.0,0.21766620897687972,34.85787495900877,
air05,multi_feature_portfolio,300,1,best_estimate,budget>180,p45_air05_best_estimate_b300_s1_1787998216,node_limit,26611.0,0.21766620897687972,34.85787495900877,
air05,budgeted_portfolio,300,2,best_estimate,budget>180,p45_air05_best_estimate_b300_s2_1787998255,node_limit,26611.0,0.21643495798343793,34.4398594579543,
air05,instance_aware_portfolio,300,2,best_estimate,budget>180,p45_air05_best_estimate_b300_s2_1787998255,node_limit,26611.0,0.21643495798343793,34.4398594579543,
