instance,policy,budget,seed,status,status_family,incumbent,optimum,gap_vs_opt,final_gap,nodes,ttff,elapsed,root_fractional_count,root_fractional_ratio,root_integer_variable_count,root_solve_seconds,root_integrality_gap_l1,root_binary_near_integral_ratio,root_binary_midpoint_ratio
academictimetablesmall,best_bound,10,0,time_limit,time_limit,,0.0,,,15,,10.048399000021163,4991,0.1725437322823757,28926,7.015358957985882,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,best_bound,10,1,time_limit,time_limit,,0.0,,,13,,10.0016421659966,5250,0.1814976146027795,28926,7.004692874965258,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,best_bound,10,2,time_limit,time_limit,,0.0,,,15,,10.004904125002213,5258,0.18177418239645993,28926,7.002800667018164,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,best_bound,300,0,node_limit,node_limit,,0.0,,,401,,89.49743437499274,4991,0.1725437322823757,28926,6.998097416013479,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,best_bound,300,1,node_limit,node_limit,,0.0,,,401,,88.74154791701585,5250,0.1814976146027795,28926,7.014470125024673,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,best_bound,300,2,node_limit,node_limit,,0.0,,,401,,85.12003458297113,5258,0.18177418239645993,28926,7.019031666975934,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,best_bound,60,0,time_limit,time_limit,,0.0,,,257,,60.00278304098174,4991,0.1725437322823757,28926,6.999309875012841,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,best_bound,60,1,time_limit,time_limit,,0.0,,,229,,60.00247224996565,5250,0.1814976146027795,28926,7.0134631670080125,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,best_bound,60,2,time_limit,time_limit,,0.0,,,267,,60.068963833968155,5258,0.18177418239645993,28926,7.006662082974799,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,best_bound,900,0,node_limit,node_limit,,0.0,,,401,,89.93019229202764,4991,0.1725437322823757,28926,6.983582416025456,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,best_bound,900,1,node_limit,node_limit,,0.0,,,401,,89.1568222080241,5250,0.1814976146027795,28926,7.036346999986563,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,best_bound,900,2,node_limit,node_limit,,0.0,,,401,,85.2363283750019,5258,0.18177418239645993,28926,7.014210874971468,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,best_estimate,10,0,time_limit,time_limit,,0.0,,,13,,10.001578540948685,4991,0.1725437322823757,28926,7.014641999965534,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,best_estimate,10,1,time_limit,time_limit,,0.0,,,15,,10.07922245899681,5250,0.1814976146027795,28926,7.000805750023574,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,best_estimate,10,2,time_limit,time_limit,,0.0,,,13,,10.001371832971927,5258,0.18177418239645993,28926,7.010931290977169,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,best_estimate,300,0,node_limit,node_limit,,0.0,,,401,,134.11273458402138,4991,0.1725437322823757,28926,7.006535624968819,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,best_estimate,300,1,node_limit,node_limit,,0.0,,,401,,135.64975783298723,5250,0.1814976146027795,28926,7.038445540994871,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,best_estimate,300,2,node_limit,node_limit,,0.0,,,401,,133.13119966699742,5258,0.18177418239645993,28926,7.007903249992523,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,best_estimate,60,0,time_limit,time_limit,,0.0,,,193,,60.107082874979824,4991,0.1725437322823757,28926,6.991152208996937,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,best_estimate,60,1,time_limit,time_limit,,0.0,,,187,,60.00401516602142,5250,0.1814976146027795,28926,6.998378666990902,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,best_estimate,60,2,time_limit,time_limit,,0.0,,,197,,60.075560249970295,5258,0.18177418239645993,28926,6.999984625028446,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,best_estimate,900,0,node_limit,node_limit,,0.0,,,401,,135.33437237504404,4991,0.1725437322823757,28926,6.996874500007834,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,best_estimate,900,1,node_limit,node_limit,,0.0,,,401,,136.43028650002088,5250,0.1814976146027795,28926,7.014623541035689,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,best_estimate,900,2,node_limit,node_limit,,0.0,,,401,,133.98677854199195,5258,0.18177418239645993,28926,6.997858582995832,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,boltzmann_adaptive,10,0,time_limit,time_limit,,0.0,,,15,,10.015423667035066,4991,0.1725437322823757,28926,7.012799083022401,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,boltzmann_adaptive,10,1,time_limit,time_limit,,0.0,,,15,,10.085666375001892,5250,0.1814976146027795,28926,7.037859125004616,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,boltzmann_adaptive,10,2,time_limit,time_limit,,0.0,,,15,,10.008305999974255,5258,0.18177418239645993,28926,6.991697792022023,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,boltzmann_adaptive,300,0,node_limit,node_limit,,0.0,,,401,,95.32069787499495,4991,0.1725437322823757,28926,7.004712334019132,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,boltzmann_adaptive,300,1,node_limit,node_limit,,0.0,,,401,,95.52518916700501,5250,0.1814976146027795,28926,7.009061666962225,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,boltzmann_adaptive,300,2,node_limit,node_limit,,0.0,,,401,,94.05034237500513,5258,0.18177418239645993,28926,6.996566959016491,0.014922302349535189,0.9589988245868769,0.027172785729101846
academictimetablesmall,boltzmann_adaptive,60,0,time_limit,time_limit,,0.0,,,235,,60.000800125009846,4991,0.1725437322823757,28926,6.999010375002399,0.014855599880935308,0.9613150798589504,0.027172785729101846
academictimetablesmall,boltzmann_adaptive,60,1,time_limit,time_limit,,0.0,,,239,,60.0051974170492,5250,0.1814976146027795,28926,7.019759625021834,0.014538896733832463,0.9605199474521192,0.026550508193320888
academictimetablesmall,boltzmann_adaptive,60,2,time_limit,time_limit,,0.0,,,241,,60.0253792500007,5258,0.18177418239645993,28926,7.04639649996534,0.014922302349535189,0.9589988245868769,0.027172785729101846
